Tennis,0,2,-2,2,2,2,-3,0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-2.09465649,0.01933842000000041,0.019338429999999907
Total disciplines,0,12,-4,-5,12,-7,11,-6,-3.0,0.0,5.0,-2.0,0.0,0.0,0.0,2.0,-1.0,4.0,-1.0,0.0,2.0,2.0,3.0,3.0,3.0,0.0,2.0,-2.0,2.0,8.0,-2.0,-4.9331779800000035,0.8762180200000032,0.8762180299999969
Total events,0,54,-2,-19,34,-8,54,-30,-17.0,8.0,12.0,7.0,13.0,2.0,-1.0,13.0,9.0,23.0,3.0,5.0,18.0,16.0,20.0,14.0,29.0,1.0,1.0,0.0,4.0,33.0,-10.0,-4.039983930000005,8.13018347000002,8.130183479999971
Total sports,0,9,-4,-5,11,-8,8,-5,-3.0,0.0,5.0,-2.0,0.0,0.0,0.0,2.0,-1.0,3.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,-1.0,2.0,5.0,-1.0,-3.4224588199999992,0.46859514999999874,0.46859515999999957
Triathlon,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.31477702,0.06962903999999992,0.06962902999999998
Tug of War,0,1,0,0,0,0,0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.24564885,-0.026157769999999997,-0.026157759999999974
Volleyball,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12438730000000042,0.1534217299999998,0.15342171999999987
Water Motorsports,0,0,0,0,3,-3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12421856,-0.013161909999999999,-0.013161919999999994
Weightlifting,0,0,0,-2,0,0,5,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,-1.0,-4.0,5.097959019999999,0.44003214000000135,0.44003213999999957
Wrestling,0,-1,7,-3,5,-4,5,3,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,2.0,0.0,0.0,0.0,0.0,0.0,4.7005062299999985,0.4874460900000024,0.48744609999999966
