NOC,Sport,Year,Athletes
ANT,Athletics,2016,7.0
ANT,Athletics,2020,2.0
ANT,Athletics,2024,2.0
ANT,Athletics,2028,-1.3840774610005155
ANT,Athletics,2032,-2.8601398601398387
ANT,Athletics,2036,-4.336202259279162
ANT,Boxing,1988,2.0
ANT,Boxing,2020,1.0
ANT,Boxing,2028,0.75
ANT,Boxing,2032,0.625
ANT,Boxing,2036,0.5
ANT,Canoeing,1996,3.0
ANT,Canoeing,2028,3.0
ANT,Canoeing,2032,3.0
ANT,Canoeing,2036,3.0
ANT,Cycling,1976,3.0
ANT,Cycling,1984,4.0
ANT,Cycling,1988,3.0
ANT,Cycling,1992,6.0
ANT,Cycling,1996,1.0
ANT,Cycling,2028,2.2972972972972983
ANT,Cycling,2032,2.189189189189193
ANT,Cycling,2036,2.0810810810810807
ANT,Sailing,1984,1.0
ANT,Sailing,1988,1.0
ANT,Sailing,1992,5.0
ANT,Sailing,1996,1.0
ANT,Sailing,2000,1.0
ANT,Sailing,2020,1.0
ANT,Sailing,2024,1.0
ANT,Sailing,2028,0.924528301886788
ANT,Sailing,2032,0.830188679245282
ANT,Sailing,2036,0.7358490566037688
ANT,Swimming,2004,2.0
ANT,Swimming,2008,1.0
ANT,Swimming,2012,1.0
ANT,Swimming,2016,2.0
ANT,Swimming,2020,2.0
ANT,Swimming,2024,2.0
ANT,Swimming,2028,2.066666666666663
ANT,Swimming,2032,2.1809523809523768
ANT,Swimming,2036,2.2952380952380906
ANZ,Athletics,1908,15.0
ANZ,Athletics,1912,7.0
ANZ,Athletics,2028,-225.0
ANZ,Athletics,2032,-233.0
ANZ,Athletics,2036,-241.0
ANZ,Boxing,1908,1.0
ANZ,Boxing,2028,1.0
ANZ,Boxing,2032,1.0
ANZ,Boxing,2036,1.0
ANZ,Diving,1908,1.0
ANZ,Diving,2028,1.0
ANZ,Diving,2032,1.0
ANZ,Diving,2036,1.0
ANZ,Rowing,1912,10.0
ANZ,Rowing,2028,10.0
ANZ,Rowing,2032,10.0
ANZ,Rowing,2036,10.0
ANZ,Rugby,1908,15.0
ANZ,Rugby,2028,15.0
ANZ,Rugby,2032,15.0
ANZ,Rugby,2036,15.0
ANZ,Shooting,1908,3.0
ANZ,Shooting,2028,3.0
ANZ,Shooting,2032,3.0
ANZ,Shooting,2036,3.0
ANZ,Swimming,1908,13.0
ANZ,Swimming,1912,20.0
ANZ,Swimming,2028,223.0
ANZ,Swimming,2032,230.0
ANZ,Swimming,2036,237.0
ANZ,Tennis,1912,1.0
ANZ,Tennis,2028,1.0
ANZ,Tennis,2032,1.0
ANZ,Tennis,2036,1.0
ARG,Archery,1988,2.0
ARG,Archery,2024,1.0
ARG,Archery,2028,0.8888888888888928
ARG,Archery,2032,0.7777777777777786
ARG,Archery,2036,0.6666666666666714
ARG,Art Competitions,1932,1.0
ARG,Art Competitions,2028,1.0
ARG,Art Competitions,2032,1.0
ARG,Art Competitions,2036,1.0
ARG,Artistic Gymnastics,2020,5.0
ARG,Artistic Gymnastics,2028,5.0
ARG,Artistic Gymnastics,2032,5.0
ARG,Artistic Gymnastics,2036,5.0
ARG,Athletics,1924,16.0
ARG,Athletics,1928,12.0
ARG,Athletics,1932,18.0
ARG,Athletics,1936,17.0
ARG,Athletics,1948,38.0
ARG,Athletics,1952,30.0
ARG,Athletics,1956,2.0
ARG,Athletics,1960,4.0
ARG,Athletics,1964,12.0
ARG,Athletics,1968,9.0
ARG,Athletics,1972,10.0
ARG,Athletics,1976,2.0
ARG,Athletics,1984,9.0
ARG,Athletics,1988,2.0
ARG,Athletics,1992,4.0
ARG,Athletics,1996,9.0
ARG,Athletics,2000,11.0
ARG,Athletics,2004,8.0
ARG,Athletics,2008,11.0
ARG,Athletics,2012,10.0
ARG,Athletics,2016,13.0
ARG,Athletics,2020,5.0
ARG,Athletics,2024,6.0
ARG,Athletics,2028,4.915450361604201
ARG,Athletics,2032,4.425772518080208
ARG,Athletics,2036,3.936094674556216
ARG,Basketball,1948,14.0
ARG,Basketball,1952,14.0
ARG,Basketball,1996,12.0
ARG,Basketball,2004,12.0
ARG,Basketball,2008,12.0
ARG,Basketball,2012,12.0
ARG,Basketball,2016,12.0
ARG,Basketball,2020,12.0
ARG,Basketball,2028,11.446838572942418
ARG,Basketball,2032,11.321087954786293
ARG,Basketball,2036,11.19533733663016
ARG,Beach Volleyball,1996,2.0
ARG,Beach Volleyball,2000,4.0
ARG,Beach Volleyball,2004,2.0
ARG,Beach Volleyball,2008,2.0
ARG,Beach Volleyball,2012,2.0
ARG,Beach Volleyball,2016,2.0
ARG,Beach Volleyball,2020,4.0
ARG,Beach Volleyball,2028,2.9285714285714306
ARG,Beach Volleyball,2032,3.0
ARG,Beach Volleyball,2036,3.0714285714285694
ARG,Boxing,1920,1.0
ARG,Boxing,1924,10.0
ARG,Boxing,1928,8.0
ARG,Boxing,1932,8.0
ARG,Boxing,1936,8.0
ARG,Boxing,1948,8.0
ARG,Boxing,1952,10.0
ARG,Boxing,1956,10.0
ARG,Boxing,1960,10.0
ARG,Boxing,1964,10.0
ARG,Boxing,1968,7.0
ARG,Boxing,1972,5.0
ARG,Boxing,1976,3.0
ARG,Boxing,1984,6.0
ARG,Boxing,1988,4.0
ARG,Boxing,1992,3.0
ARG,Boxing,1996,5.0
ARG,Boxing,2000,7.0
ARG,Boxing,2004,1.0
ARG,Boxing,2008,1.0
ARG,Boxing,2012,2.0
ARG,Boxing,2016,6.0
ARG,Boxing,2020,5.0
ARG,Boxing,2028,3.162721893491124
ARG,Boxing,2032,2.960059171597635
ARG,Boxing,2036,2.7573964497041317
ARG,Canoe Slalom,2020,1.0
ARG,Canoe Slalom,2028,1.0
ARG,Canoe Slalom,2032,1.0
ARG,Canoe Slalom,2036,1.0
ARG,Canoe Sprint,2020,4.0
ARG,Canoe Sprint,2024,2.0
ARG,Canoe Sprint,2028,0.0
ARG,Canoe Sprint,2032,-2.0
ARG,Canoe Sprint,2036,-4.0
ARG,Canoeing,1984,2.0
ARG,Canoeing,1988,10.0
ARG,Canoeing,1992,7.0
ARG,Canoeing,1996,6.0
ARG,Canoeing,2000,4.0
ARG,Canoeing,2004,3.0
ARG,Canoeing,2008,3.0
ARG,Canoeing,2012,3.0
ARG,Canoeing,2016,11.0
ARG,Canoeing,2028,5.911111111111104
ARG,Canoeing,2032,5.977777777777774
ARG,Canoeing,2036,6.044444444444437
ARG,Cycling,1924,14.0
ARG,Cycling,1928,10.0
ARG,Cycling,1948,16.0
